Name,Cuisine Types,Zip Code
The Bebop,"Irish Pub, American, Music Venues",02215
Audubon Boston,"American, Bars",02215
Emmet's Irish Pub & Restaurant,"Pubs, Irish, Burgers",02108
Little Whale,"Bars, Seafood",02115
Trattoria Il Panino,Italian,02113
The Dubliner,"Irish Pub, Irish, Breakfast & Brunch",02108
Bogie's Place,"Bars, American",02111
GRECO,"Greek, Salad, Soup",02116
Delux Café,"Bars, American",02116
Cheers,"American, Sports Bars",02108
Shabu-Zen,"Japanese, Hot Pot, Do-It-Yourself Food",02111
Cósmica,"Mexican, Cocktail Bars",02116
Pressed Cafe,"Sandwiches, Juice Bars & Smoothies, Breakfast & Brunch",02199
Sulmona,"Pizza, Italian, Bars",02139
Avana Sushi,"Japanese, Sushi Bars",02111
Silvertone Bar & Grill,"American, Cocktail Bars, Sandwiches",02108
Eddie V's Prime Seafood,"Seafood, Steakhouses, Lounges",02199
Porto,"Seafood, Mediterranean, Cocktail Bars",02199
Pazza on Porter,"Italian, Lounges",02128
North Street Grille,"Breakfast & Brunch, New American",02113
Flour Bakery + Café,"Bakeries, Coffee & Tea, Sandwiches",02210
Sonsie,"New American, Wine Bars, Breakfast & Brunch",02115
Desfina Restaurant,"Greek, Mediterranean, American",02141
Jonquils Cafe & Bakery,"Cafes, Coffee & Tea, Bakeries",02116
TreMonte Restaurant & Bar,"Italian, Cocktail Bars, Pizza",02113
Strega Italiano Back Bay,"American, Italian, Wine Bars",02116
Orinoco,"Caribbean, Venezuelan",02118
Locale,"Pizza, Beer, Wine & Spirits",02113
Forcella,Italian,02113
Little Donkey,"Tapas/Small Plates, Bars, Seafood",02139
Antico Forno,"Italian, Pizza",02113
Aquitaine,French,02118
JiangNan Boston,Chinese,02111
Burro Bar South End,"Mexican, Cocktail Bars, Latin American",02118
The Helmand Restaurant,"Afghan, Halal, Bars",02142
Flour Bakery + Café,"Coffee & Tea, Bakeries, Sandwiches",02116
Boston Chowda,"Seafood, Soup, Sandwiches",02109
Spring Shabu-Shabu,"Hot Pot, Japanese",02135
Purple Shell,"Sushi Bars, Asian Fusion, Cocktail Bars",02127
Union Oyster House,Seafood,02108
Night Shift Brewing - Lovejoy Wharf,"Breweries, Coffee & Tea, Breakfast & Brunch",02114
Kaze Shabu Shabu,"Japanese, Hot Pot",02111
Caffé Vittoria,"Coffee & Tea, Italian",02113
"Pastoral - Artisan Pizza, Kitchen & Bar","Pizza, Beer Bar, Cocktail Bars",02210
BenCotto - Boston,"Italian, Seafood, Pizza",02113
Clay Pot Cafe,Cantonese,02111
Ramsay's Kitchen,"American, Desserts, Cocktail Bars",02199
Pammy's,"Italian, New American",02139
Summer Shack - Boston,"Seafood, Bars, New American",02115
Mr. Dooley's,"Irish, Music Venues, Pubs",02109
Tawakal Halal Cafe,"African, Halal, Somali",02128
Crazy Good Kitchen - Newbury,"Bars, American, Acai Bowls",02116
Lucca Restaurant & Bar,"Italian, Wine Bars, Venues & Event Spaces",02113
Pescador,"Seafood, Desserts, Cocktail Bars",02215
Ciao! Pizza & Pasta,"Italian, Pizza",02150
Joe’s On Newbury,"American, Burgers, Cocktail Bars",02116
Crudo,"Japanese, Sushi Bars, Asian Fusion",02113
Lucy Ethiopian Cafe,"Ethiopian, Coffee & Tea",02115
Area Four,"Pizza, American, Bars",02139
Arya Trattoria,Italian,02113
Gigi,"Italian, Cocktail Bars",02116
Mooo Seaport,"Steakhouses, Bars",02210
Stephanie's On Newbury,"American, Breakfast & Brunch",02116
Thinking Cup,"Coffee & Tea, Breakfast & Brunch, Sandwiches",02116
Pho Basil,"Vietnamese, Thai, Seafood",02115
Lenox Sophia,New American,02127
Franklin Cafe,"Lounges, New American, Cocktail Bars",02118
il Molo,Seafood,02109
Mario's Restaurant,Italian,02128
Monica's Mercato,"Specialty Food, Italian, Pizza",02113
Troquet on South,"French, Cocktail Bars",02111
Hopewell Bar & Kitchen,"Bars, New American",02134
Woody's Grill and Tap,"Bars, American, Pizza",02115
Lobstah On A Roll,"Seafood, Soup, Sandwiches",02118
Coquette,"Breakfast & Brunch, Pizza, Cocktail Bars",02210
Barcelona Wine Bar,"Tapas/Small Plates, Spanish, Wine Bars",02446
Ciao Roma,"Italian, Seafood, Beer, Wine & Spirits",02113
Cafe Landwer,"Breakfast & Brunch, Cafes, Mediterranean",02215
The Merchant,"New American, Brasseries",02110
Trade,"Mediterranean, Cocktail Bars",02110
Legal Sea Foods - Boston,"Seafood, Bars, Sandwiches",02109
Morton's The Steakhouse,"Steakhouses, Seafood",02210
La Summa,"Italian, Desserts, Salad",02113
Dino's Cafe,Italian,02113
Santarpio's Pizza,Pizza,02128
Flour Bakery + Cafe,"Cafes, Coffee & Tea, Bakeries",02114
Wicked Craft,"Sandwiches, Wine Bars, Beer Bar",02113
Taiwan Café,"Taiwanese, Chinese, Seafood",02111
The Kenmore,"Bars, Burgers, Hot Dogs",02215
Bacco,"Italian, Wine Bars, Southern",02113
Rabias Dolce Fumo,"Italian, Seafood, Bars",02113
Top Mix Bar & Kitchen,"Cocktail Bars, New American",02119
Back Bay Social,"New American, Desserts",02116
Boston Shawarma,"Middle Eastern, Halal, Mediterranean",02115
Dirty Water Dough,"Pizza, Sandwiches, Salad",02116
Bab Alyemen Boston Restaurant,"Arabic, Middle Eastern",02215
Blue Ribbon Sushi,"Japanese, Sushi Bars, Steakhouses",02215
North End Fish Market,"Sushi Bars, Seafood, Japanese",02113
Trophy Room,"Cocktail Bars, Gay Bars, American",02116
Viale,"Italian, Bars, Tapas/Small Plates",02139
M.J. O'Connor's,"American, Irish Pub",02116
Banyan Bar + Refuge,"Asian Fusion, Tiki Bars, Vegetarian",02116
Alcove,"Cocktail Bars, American, Wine Bars",02114
Liuyishou Hotpot,"Chinese, Hot Pot",02111
Irashai Sushi and Teriyaki,"Japanese, Sushi Bars",02111
Kings Dining & Entertainment,"Sports Bars, American, Bowling",02210
Assaggio,"Italian, Seafood",02113
Piccolo Nido,Italian,02113
FiRE + iCE  Grill + Bar,"American, Cocktail Bars, Comfort Food",02116
Luke's Lobster Downtown Crossing,"Seafood, Soup, Sandwiches",02108
224 Boston Street Restaurant,New American,02125
Lone Star Taco Bar,"Tacos, Cocktail Bars",02141
State Park,"New American, Dive Bars, Venues & Event Spaces",02139
Dumpling Xuan,"Chinese, Seafood, Noodles",02141
Mela,Indian,02118
Hei La Moon,"Dim Sum, Cantonese",02111
Tatte Bakery and Cafe,"Breakfast & Brunch, Sandwiches, Coffee & Tea",02116
Lulu's Allston,"New American, Sports Bars, Breakfast & Brunch",02134
Sam LaGrassa's,"Delis, Sandwiches",02108
Corner Tavern,"Bars, New American",02115
Smith & Wollensky - Boston,"Steakhouses, Seafood, New American",02210
Momosan Boston Morimoto,"Bars, Asian Fusion, Ramen",02114
Bangkok Bento Thai kitchen & Sushi Bar,"Sushi Bars, Thai, Asian Fusion",02116
Lobstah On A Roll,"Seafood, Soup, Sandwiches",02116
Mi Pueblito Restaurant,"Mexican, Salvadoran, Seafood",02128
Doña Habana,"Cuban, Desserts, Salad",02118
Lily's Bar Pizza Patio,"Pizza, New American",02110
Granary Tavern,"New American, Pubs",02109
Rhythm n Wraps,"Wraps, Tacos, American",02134
Hunter’s Kitchen & Bar,"Bars, Southern, Comfort Food",02127
Bar Volpe,"Italian, Desserts, Bars",02127
Tavern In The Square,"Sports Bars, New American",02114
The Paramount,"Breakfast & Brunch, New American, Sandwiches",02114
Terra at Eataly Boston,"Italian, Bars",02199
Clover Food Lab,"Sandwiches, Cafes, New American",02108
Zen Japanese Grill & Sushi Bar,"Japanese, Sushi Bars",02108
Mae Asian Eatery,"Thai, Chinese, Vietnamese",02139
Metropolis,"New American, Wine Bars",02118
Chilacates Mexican Street Food,Mexican,02130
Faccia a Faccia,Italian,02116
Flight Club Darts Boston,"Bars, New American",02210
Barking Crab,"Seafood, Beer Bar",02210
The Warren Tavern,"Bars, American",02129
Libertine North End,"American, Italian, Mediterranean",02113
Florina Pizzeria & Paninoteca,"Pizza, Italian, Salad",02114
Sportello,Italian,02210
1928 Beacon Hill,"American, Bars, Steakhouses",02108
Love Art Sushi,"Poke, Japanese",02115
Shun's Kitchen,"Japanese, Chinese, Asian Fusion",02118
Double Chin,"Asian Fusion, Chinese, Hong Kong Style Cafe",02111
Rod Thai Family Taste,Thai,02215
Glass House,"American, Venues & Event Spaces, Gluten-Free",02142
Nebo Cucina & Enoteca,"Italian, Gluten-Free, Pizza",02210
Gyu-Kaku Japanese BBQ,"Japanese, Barbeque, Asian Fusion",02446
Carrie Nation Cocktail Club,"American, Cocktail Bars",02108
Russell House Tavern,"New American, Pizza, Cocktail Bars",02138
Strega Italiano Seaport,"Italian, Wine Bars, American",02210
Ganko Ittetsu Ramen,Ramen,02446
Gather,"New American, Bars",02210
The Haven,"Gastropubs, Scottish, Fish & Chips",02130
Harvard Gardens,"Bars, American, Burgers",02114
Great Taste Bakery & Restaurant,"Bakeries, Dim Sum, Cantonese",02111
Judy's Bay,"Seafood, Japanese, Pan Asian",02139
Veggie Galaxy,"Breakfast & Brunch, Comfort Food, American",02139
The Avenue,"American, Beer Bar",02134
Servia,"Mediterranean, Cocktail Bars, Wine Bars",02109
Brownstone,"Bars, Breakfast & Brunch, New American",02116
City Bar,"New American, Cocktail Bars",02116
Penang,"Malaysian, Chinese, Thai",02111
Solas Irish Pub,"Irish, Irish Pub",02116
Ogawa Coffee,"Coffee & Tea, Sandwiches, Cafes",02108
South End Buttery,"Coffee & Tea, Breakfast & Brunch, Burgers",02118
Alma Gaucha,"Steakhouses, Desserts, Brazilian",02210
OAK Long Bar + Kitchen,"Bars, New American",02116
The Quiet Few,"Beer, Wine & Spirits, Burgers, Cocktail Bars",02128
Puritan & Company,"New American, Wine Bars",02139
Giulia,"Italian, Wine Bars, Cocktail Bars",02138
Tuscan Kitchen - Boston,"Italian, Bars",02210
Cheeky Monkey Brewing Company,"Brewpubs, American, Asian Fusion",02215
High Street Place,Food Court,02110
Map Room Tea Lounge,"Lounges, Sandwiches, Tea Rooms",02116
Angela's Cafe - Eagle Hill,"Mexican, Breakfast & Brunch",02128
Sip Wine Bar And Kitchen,"Wine Bars, Comfort Food, Cocktail Bars",02111
Saloniki Greek,"Greek, Mediterranean, Salad",02215
Mahaniyom,"Cocktail Bars, Thai, Tapas/Small Plates",02445
D'Parma Restaurant,Italian,02128
The Cheesecake Factory - Boston,"American, Desserts",02199
Davio's Northern Italian Steakhouse - Seaport,"Steakhouses, Italian, Seafood",02210
Warehouse Bar & Grille,"Sports Bars, American",02109
Nando Ristorante Enoteca,"Italian, Desserts, Cocktail Bars",02113
Cafe Porto Bello,"Pizza, Italian",02127
Ichiban Yakitori Sushi House,"Korean, Asian Fusion, Japanese",02115
Red's Best Seafood at the Boston Public Market,"Seafood, Seafood Markets",02108
Flour Bakery + Cafe,"Bakeries, Coffee & Tea, Sandwiches",02118
Trident Booksellers & Café,"Bookstores, Breakfast & Brunch, Sandwiches",02115
Blackmoor Bar and Kitchen,"American, Pubs",02129
Lily P's,"Venues & Event Spaces, Chicken Shop, Cocktail Bars",02142
Citizen Public House & Oyster Bar,"Gastropubs, Whiskey Bars, Seafood",02215
DIG,New American,02116
Season to Taste,New American,02138
Brown Sugar Cafe,Thai,02215
Limani Grille,"Bars, Seafood, Greek",02210
Waypoint,"Bars, New American, Seafood",02138
Grainne O’Malley’s,"Irish Pub, American, Chicken Wings",02446
Kantipur Cafe,"Indian, Himalayan/Nepalese, American",02139
Time Out Market Boston,"Cocktail Bars, Desserts, New American",02215
WakuWaku,Ramen,02111
India Quality Restaurant,Indian,02215
Chilacates Mexican Street Food,"Mexican, Street Vendors",02118
City Table,"Bars, New American, Breakfast & Brunch",02116
Alden & Harlow,"American, Breakfast & Brunch",02138
Yunnan Kitchen,"Szechuan, Pan Asian, Noodles",02118
SPIN Boston,"Sports Clubs, Cocktail Bars, New American",02210
Outlook Kitchen And Bar,"New American, Breakfast & Brunch, Bars",02211
SAVR,"American, Cocktail Bars",02210
Life Alive Organic Cafe Back Bay,"Juice Bars & Smoothies, Vegetarian, Salad",02116
Table,Italian,02113
Petit Robert Bistro,"French, Breakfast & Brunch, Wine Bars",02118
Ernesto's,"Pizza, Salad",02113
DIG,New American,02108
Rochambeau,"French, Bars",02115
Pho Pasteur,Vietnamese,02111
Tatte Bakery & Cafe,"Breakfast & Brunch, Bakeries, Coffee & Tea",02110
Tatte Bakery & Cafe,"Cafes, Bakeries, Breakfast & Brunch",02116
Alma Cantina,"Bars, Tacos",02108
Rowes Wharf Bar - Boston Harbor Hotel,"Bars, New American, Breakfast & Brunch",02110
Bronwyn,"German, Cocktail Bars",02143
Cambridge Deli & Grill,"Delis, American",02139
Capo Restaurant,"Bars, Italian",02127
Angela's Cafe - Orient Heights,"Mexican, Breakfast & Brunch",02128
Theo's Cozy Corner,"Breakfast & Brunch, Italian",02113
Boston Kitchen Pizza,"Pizza, Italian, Burgers",02116
Cafe Landwer,"Mediterranean, Breakfast & Brunch, Cafes",02116
Kane's Donuts - Downtown,"Donuts, Coffee & Tea, Breakfast & Brunch",02110
Figs by Todd English,"Pizza, Italian",02114
Grafton Street,"New American, Pubs, Cocktail Bars",02138
Geppetto,"Italian, Wine Bars",02141
Lulu Green,"Vegan, Cafes, Cocktail Bars",02127
Batifol,"French, Breakfast & Brunch, Wine Bars",02142
Mamaleh's Delicatessen,"Delis, Bagels",02139
Del Frisco's Double Eagle Steakhouse,"Seafood, Steakhouses, American",02210
Tatte Bakery & Cafe,"Coffee & Tea, Bakeries, Breakfast & Brunch",02210
Miel Brasserie,"Salad, Breakfast & Brunch, American",02210
Row 34 - Cambridge,"Seafood, Beer Bar",02142
UNI,"Sushi Bars, Japanese, Asian Fusion",02215
PlantPub,"Burgers, Desserts, Pizza",02142
Phin Coffee House,"Vietnamese, Coffee & Tea, Sandwiches",02110
GRECO,"Greek, Salad, Wraps",02210
Mecha Noodle Bar,"Noodles, Bubble Tea, Ramen",02210
Last Hurrah,"New American, Whiskey Bars, Cocktail Bars",02108
The Black Rose,"American, Irish Pub",02109
Boston Chops Downtown,"Steakhouses, New American",02111
Tatte Bakery,"Bakeries, Breakfast & Brunch, Cafes",02108
Bukowski Tavern,"American, Dive Bars",02115
Café Luna,"Coffee & Tea, Sandwiches, Breakfast & Brunch",02139
Club Café,"Gay Bars, Italian, Dance Clubs",02116
Shy Bird,"Salad, Breakfast & Brunch, Sandwiches",02142
Taqueria Jalisco,Mexican,02128
Hong Kong Eatery,"Seafood, Noodles, Barbeque",02111
The Westland,"New American, Bars",02115
Mike's City Diner,Diners,02118
Gene's Chinese Flatbread Cafe,"Chinese, Noodles",02111
Field & Vine,"New American, Bars, Live/Raw Food",02143
Yamato 2,"Japanese, Sushi Bars, Buffets",02116
Tatte Bakery & Cafe,"Cafes, Breakfast & Brunch, Sandwiches",02142
Rose Town Kitchen & Bar,"American, Cocktail Bars, Pizza",02109
Cafe G,"New American, Coffee & Tea, Bars",02115
Thai Basil Restaurant,"Thai, Seafood, Noodles",02116
Legal Sea Foods - Copley Place,"Seafood, Bars, Sandwiches",02116
Lucky's Lounge,"Lounges, American, Comfort Food",02210
Carlo's Cucina Italiana,"Italian, Desserts, Salad",02134
Cafe Quattro,"Pizza, Italian",02118
Sweet Cheeks Q,"Southern, Bars, Barbeque",02215
Stubbys,"Salad, Breakfast & Brunch, American",02210
Vinoteca di Monica,"Italian, Wine Bars, Seafood",02109
Tora Ramen,Ramen,02111
Vintage Restaurant and Lounge,"Lounges, New American",02110
Mu Lan,"Taiwanese, Chinese",02139
Yoki Express,"Sushi Bars, Japanese, Poke",02210
Thinking Cup,"Coffee & Tea, Sandwiches, Bagels",02113
Waverly Kitchen & Bar,"Cocktail Bars, Breakfast & Brunch, Tapas/Small Plates",02129
Blunch,"Breakfast & Brunch, Coffee & Tea, Sandwiches",02118
Yellow Door Taqueria - South End,"Mexican, Bars",02118
Lotus Test Kitchen,"Asian Fusion, Bubble Tea, Acai Bowls",02110
Anchovies,"Italian, Bars, Salad",02116
Ruckus,"Ramen, Pan Asian, Noodles",02111
Tenoch Mexican,"Mexican, Food Trucks",02110
My Thai Vegan Cafe,"Thai, Vegan, Bubble Tea",02111
Broadside Tavern,"Beer Bar, Irish",02110
Tatte Bakery & Cafe,"Cafes, Bakeries",02115
Clover Food Lab,"Sandwiches, Cafes, New American",02215
Antonio's Cucina Italiana,"Italian, Bars",02114
Artu,"Italian, Diners, Wine Bars",02113
Cafe Amaro,"Italian, Wine Bars, Pizza",02113
Cantina Italiana,Italian,02113
La Pizza & La Pasta at Eataly Boston,Italian,02199
Nagomi Izakaya,"Japanese, Sushi Bars, Beer, Wine & Spirits",02215
Lucia Ristorante,"Italian, Wine Bars",02113
Rowes Wharf Sea Grille,"Seafood, Breakfast & Brunch, Cocktail Bars",02110
Mo'Rockin Fusion,"Moroccan, Mediterranean, Fast Food",02108
Gyu-Kaku Japanese BBQ,"Japanese, Barbeque, Asian Fusion",02125
The Bittersweet Shoppe on Newbury,"Cafes, Ice Cream & Frozen Yogurt, Breakfast & Brunch",02116
A.T. O'Keeffe's,"Irish Pub, Sports Bars, Burgers",02215
Mei Mei Dumplings,Asian Fusion,02127
El Pelón Taquería,Mexican,02215
Dryft,"Seafood, Italian, Bars",02151
El Jefe's Taqueria,Tacos,02116
Flour Bakery + Cafe,"Bakeries, Desserts, Sandwiches",02115
Bono Restaurant and Catering,"Bakeries, Salvadoran, Mexican",02128
Pho Viet's,Vietnamese,02215
Fromage Wine Bar and Restaurant,"Wine Bars, Comfort Food",02127
Monica's Trattoria,"Italian, Seafood, Bars",02113
North 26 Restaurant and Bar,"American, Modern European, Steakhouses",02109
Gustazo Cuban Kitchen & Bar,"Cuban, Bars, Tapas/Small Plates",02453
Mast,"Pizza, Italian, Mediterranean",02108
Taiyaki NYC - Boston,"Ice Cream & Frozen Yogurt, Desserts, Japanese",02210
Café Sauvage,"Breakfast & Brunch, Coffee & Tea",02115
sweetgreen,Salad,02116
Rail Stop Restaurant & Bar,"New American, Seafood, Cocktail Bars",02135
The White Bull Tavern,"Bars, New American",02108
"Greystone Cafe, Bakery, and Provisions","Cafes, Bakeries, Breakfast & Brunch",02116
The Hourly Oyster House,"Seafood, Bars",02138
Commonwealth Restaurant and Market,"American, Bars, Venues & Event Spaces",02142
Dali Restaurant & Tapas Bar,"Spanish, Tapas Bars, Beer, Wine & Spirits",02143
Mala Restaurant,"Barbeque, Szechuan",02134
Holly Crab,"Seafood, Cajun/Creole",02215
Seoul Soulongtang,"Korean, Soup",02134
Bambara - Cambridge,"New American, Breakfast & Brunch",02141
Prairie Fire,"Pizza, New American, Wine Bars",02446
Ned Devine's,"Music Venues, Irish Pub, American",02109
Celeste,"Peruvian, Latin American, Seafood",02143
Brighton Bodega,"Cocktail Bars, Tapas/Small Plates",02135
Para Maria,"Wine Bars, Mexican, Cocktail Bars",02210
Brick & Mortar,"Lounges, Cocktail Bars, Gastropubs",02139
Underdog Hot Chicken,"Chicken Wings, Chicken Shop",02134
